"EdgeBetweenness","GNC","interaction","name","selected","shared interaction","shared name","Weight"
"33.167972550325494","0.25","interacts with","COL10A1 (interacts with) CTHRC1","false","interacts with","COL10A1 (interacts with) CTHRC1","0.8693"
"241.88365030222613","0.3333333432674408","interacts with","LOXL2 (interacts with) RAI14","false","interacts with","LOXL2 (interacts with) RAI14","0.8208"
"99.34010801891588","0.3333333432674408","interacts with","COL10A1 (interacts with) ETV1","false","interacts with","COL10A1 (interacts with) ETV1","0.865"
"112.42012987012987","0.3333333432674408","interacts with","LOXL2 (interacts with) SPOCK1","false","interacts with","LOXL2 (interacts with) SPOCK1","0.8312"
"12.113492063492064","0.25","interacts with","COL10A1 (interacts with) HSD17B6","false","interacts with","COL10A1 (interacts with) HSD17B6","0.8501"
"8120.0","0.5","interacts with","ADAMTSL3 (interacts with) LMO3","false","interacts with","ADAMTSL3 (interacts with) LMO3","0.8317"
"12.607692307692307","0.3333333432674408","interacts with","LRRC15 (interacts with) RUNX2","false","interacts with","LRRC15 (interacts with) RUNX2","0.8443"
"39.80809272426932","0.25","interacts with","COL10A1 (interacts with) INHBA","false","interacts with","COL10A1 (interacts with) INHBA","0.8414"
"34.767216117216115","0.3333333432674408","interacts with","LRRC15 (interacts with) SUGCT","false","interacts with","LRRC15 (interacts with) SUGCT","0.8183"
"49.135636173252266","0.25","interacts with","COL10A1 (interacts with) ITGA11","false","interacts with","COL10A1 (interacts with) ITGA11","0.8589"
"162.64578824717995","0.5","interacts with","MCM4 (interacts with) NCAPG","false","interacts with","MCM4 (interacts with) NCAPG","0.8156"
"13.452242766824037","0.5","interacts with","MCM4 (interacts with) NUF2","false","interacts with","MCM4 (interacts with) NUF2","0.8138"
"99.86868686868664","0.3333333432674408","interacts with","COL10A1 (interacts with) KCND2","false","interacts with","COL10A1 (interacts with) KCND2","0.8217"
"8.101238783554495","0.5","interacts with","MCM4 (interacts with) PRR11","false","interacts with","MCM4 (interacts with) PRR11","0.849"
"256.0","0.3333333432674408","interacts with","COL10A1 (interacts with) LEF1","false","interacts with","COL10A1 (interacts with) LEF1","0.819"
"8.939871892678067","0.5","interacts with","MCM4 (interacts with) TOP2A","false","interacts with","MCM4 (interacts with) TOP2A","0.8254"
"31.82308504189309","0.25","interacts with","COL10A1 (interacts with) MFAP2","false","interacts with","COL10A1 (interacts with) MFAP2","0.8494"
"8.856372038650518","0.5","interacts with","MCM4 (interacts with) TPX2","false","interacts with","MCM4 (interacts with) TPX2","0.818"
"11.624358974358971",,"interacts with","ADH1B (interacts with) ANGPTL1","false","interacts with","ADH1B (interacts with) ANGPTL1","0.815"
"10.705800113357263","0.5","interacts with","MCM4 (interacts with) TYMS","false","interacts with","MCM4 (interacts with) TYMS","0.845"
