"__mclCluster","adj_P_Val","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","DiffExpressed","Eccentricity","GNC - Common","HUB","IsSingleNode","logFC","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2","2.5562316102587858E-5","3.1097560975609757","2.3693309601168682E-4","0.32156862745098036","0.4666666666666667","6","DOWN","6","true",,"false","-0.7457717777777778","SERPINA6","16.0","0","6","0","0.8945121951219512","false","0","SERPINA6","16","0.5161290322580645"
"6","1.392358513892499E-4","2.142857142857143","0.0","0.4666666666666667","1.0","2","UP","3","true",,"false","0.6532266666666666","PARP14","7.5","0","2","0","0.8857142857142858","false","0","PARP14","0","0.75"
"1","5.8697398512819955E-9","3.8515625","0.06637961439037404","0.25963488843813387","0.4","5","UP","6","true","1","false","2.2111","FN1","7.8","0","5","0","0.9304496951219512","false","0","FN1","18804","0.3"
"4","1.78357705835474E-9","3.2916666666666665","0.15942028985507248","0.3037974683544304","0.0","2","UP","5","true",,"false","0.7145351111111111","ZDHHC7","2.0","0","2","0","0.7916666666666667","false","0","ZDHHC7","108","0.5"
"1","6.906367275043954E-7","6.140625","0.0","0.1628498727735369","1.0","3","UP","10","true",,"false","0.8131353333333335","PDGFC","7.666666666666667","0","3","0","0.8746189024390244","false","0","PDGFC","0","0.6388888888888888"
"2","9.321793412653398E-7","3.3536585365853657","3.297916577049368E-4","0.2981818181818182","0.7","5","DOWN","6","false",,"false","-2.216704222222222","RNU6-570P","14.8","0","5","0","0.8823170731707318","false","0","RNU6-570P","16","0.49333333333333335"
"4","1.1412921625004382E-8","2.5","0.2282608695652174","0.4","0.0","2","UP","4","true",,"false","1.1773140000000002","LMO7","6.5","0","2","0","0.8636363636363636","false","0","LMO7","156","0.5"
"1","3.6743760661968926E-7","4.6953125","0.01654036293124446","0.2129783693843594","0.13333333333333333","10","UP","8","true",,"false","0.9849140000000003","NUAK1","5.7","0","10","0","0.9098704268292683","false","0","NUAK1","6380","0.18"
"6","2.0395048717112996E-8","2.642857142857143","0.005494505494505495","0.3783783783783784","0.0","2","UP","4","true",,"false","0.917966","XAF1","3.0","0","2","0","0.8357142857142857","false","0","XAF1","2","0.6666666666666666"
"5","7.061843696168067E-5","1.8235294117647058","0.03176847662141779","0.5483870967741935","0.5","4","DOWN","3","true",,"false","-0.7649388888888891","FBLN5","6.75","0","4","0","0.9176470588235294","false","0","FBLN5","44","0.421875"
"3","0.003540139050687184","1.4137931034482758","0.1392947147066212","0.7073170731707318","0.017543859649122806","19","DOWN","3","true","1","false","-1.6238604444444447","REG3A","4.578947368421052","0","19","0","0.9820089955022488","false","0","REG3A","674","0.3157894736842105"
"1","7.909622734086957E-8","4.46875","0.053258377942013664","0.22377622377622378","0.27705627705627706","22","UP","8","true",,"false","0.7398557777777778","SUGCT","9.590909090909092","0","22","0","0.9153963414634146","false","0","SUGCT","15272","0.19573283858998144"
